ConvertedCompYearly,YearsCodePro,Country,EdLevel,DevType,Employment,Year
50268.0,7,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Academic researcher;Database administrator;Designer",Employed full-time,2021
92450.0,9,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Academic researcher","Independent contractor, freelancer, or self-employed",2021
,Less than 1 year,Mexico,Some college/university study without earning a degree,"Developer, desktop or enterprise applications;Developer, back-end",Employed part-time,2021
9228.0,1,Malaysia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile",Employed full-time,2021
135000.0,2,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",Employed full-time,2021
14568.0,4,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Employed part-time,2021
110000.0,16,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack;Developer, back-end",Employed full-time,2021
82464.0,6,Brazil,"Associate degree (A.A., A.S., etc.)","Developer, full-stack;Developer, back-end",Employed full-time,2021
,,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Employed full-time,2021
42656.0,1,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, QA or test",Employed full-time,2021
13176.0,15,Indonesia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end",Employed full-time,2021
66000.0,Less than 1 year,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Employed full-time,2021
105000.0,19,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end",Employed full-time,2021
33607.0,2,United Kingdom of Great Britain and Northern Ireland,"Other doctoral degree (Ph.D., Ed.D., etc.)","Developer, front-end;Academic researcher;Data or business analyst",Employed full-time,2021
,5,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Employed full-time,2021
,3,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, back-end",Employed full-time,2021
,26,Finland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",Employed full-time,2021
,,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Employed full-time,2021
,20,United States of America,Some college/university study without earning a degree,"Developer, full-stack;Developer, back-end",Employed full-time,2021
7788.0,2,Pakistan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Employed full-time,2021
31296.0,3,Japan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",Employed full-time,2021
,19,Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Employed full-time,2021
,,Chile,Some college/university study without earning a degree,Student,"Not employed, but looking for work",2021
56460.0,9,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end","Independent contractor, freelancer, or self-employed",2021
,15,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,"Developer, full-stack","Independent contractor, freelancer, or self-employed",2021
20688.0,1,Mexico,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data or business analyst,Employed full-time,2021
,,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student;Marketing or sales professional,Employed full-time,2021
140000.0,33,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Developer, embedded applications or devices;Senior Executive (C-Suite, VP, etc.)",Employed full-time,2021
,,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Database administrator;Data or business analyst;Engineering manager;System administrator;Senior Executive (C-Suite, VP, etc.)","Not employed, but looking for work",2021
,,United States of America,Some college/university study without earning a degree,"Developer, back-end",Employed full-time,2021
218200.0,3,Lebanon,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;Developer, embedded applications or devices","Independent contractor, freelancer, or self-employed",2021
36193.0,3,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",Employed full-time,2021
37834.0,5,Belgium,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",Employed full-time,2021
13224.0,3,Pakistan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Employed full-time,2021
,Less than 1 year,Kenya,Some college/university study without earning a degree,"Developer, front-end",Employed part-time,2021
35672.0,7,Italy,Some college/university study without earning a degree,"Developer, front-end",Employed full-time,2021
,,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,"Student, full-time",2021
,21,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, desktop or enterprise applications",Employed full-time,2021
66156.0,20,Lithuania,Some college/university study without earning a degree,"Developer, back-end",Employed full-time,2021
