ConvertedCompYearly,YearsCodePro,Country,EdLevel,DevType,Employment,Year
23352.0,12,Spain,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;Developer, QA or test;System administrator",Employed full-time,2021
64085.0,2,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Employed full-time,2021
75669.0,17,Austria,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Data scientist or machine learning specialist;Developer, back-end;Database administrator;DevOps specialist;Data or business analyst",Employed full-time,2021
55904.0,16,New Zealand,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, back-end;Database administrator;Engineering manager;System administrator",Employed full-time,2021
146712.0,7,"Venezuela, Bolivarian Republic of...","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test","Independent contractor, freelancer, or self-employed",2021
13704.0,2,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Employed full-time,2021
77831.0,4,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Engineering manager,Employed full-time,2021
136136.0,15,Canada,Some college/university study without earning a degree,"Developer, full-stack",Employed full-time,2021
52942.0,5,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, back-end;Database administrator;Developer, embedded applications or devices;Designer",Employed full-time,2021
8377.0,3,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist,Employed full-time,2021
48600.0,4,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, full-stack",Employed full-time,2021
135100.0,21,Italy,Something else,"Developer, back-end;DevOps specialist","Independent contractor, freelancer, or self-employed",2021
4272.0,15,"Iran, Islamic Republic of...","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, back-end;Product manager;Senior Executive (C-Suite, VP, etc.)",Employed full-time,2021
15384.0,,Egypt,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Database administrator;System administrator,Employed full-time,2021
56211.0,7,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack",Employed full-time,2021
75669.0,5,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;Developer, QA or test;Developer, embedded applications or devices;DevOps specialist;Data or business analyst;System administrator;Senior Executive (C-Suite, VP, etc.)","Independent contractor, freelancer, or self-employed",2021
172957.0,11,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Employed full-time,2021
108098.0,20,Austria,Some college/university study without earning a degree,"Developer, full-stack;DevOps specialist","Independent contractor, freelancer, or self-employed",2021
6981.0,4,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Engineer, data;Data or business analyst",Employed full-time,2021
64044.0,14,South Africa,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Developer, QA or test",Employed full-time,2021
206815.0,10,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, back-end",Employed full-time,2021
16679.0,33,South Africa,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack;Other (please specify):","Independent contractor, freelancer, or self-employed",2021
18000.0,12,"Congo, Republic of the...","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Engineer, data;Developer, back-end;Database administrator;Data or business analyst;Educator",Employed full-time,2021
64260.0,1,Denmark,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, back-end",Employed full-time,2021
64737.0,3,Norway,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;DevOps specialist",Employed full-time,2021
56723.0,3,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",Employed full-time,2021
5700.0,3,"Iran, Islamic Republic of...","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, mobile;Developer, game or graphics","Independent contractor, freelancer, or self-employed",2021
85000.0,1,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Employed full-time,2021
23640.0,6,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Engineer, site reliability",Employed full-time,2021
84019.0,9,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack;Developer, back-end",Employed full-time,2021
10932.0,1,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, desktop or enterprise applications;Developer, back-end",Employed part-time,2021
23386.0,8,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Employed full-time,2021
71340.0,4,Estonia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Engineer, data",Employed full-time,2021
37632.0,12,Chile,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, back-end",Employed full-time,2021
34896.0,3,Latvia,Some college/university study without earning a degree,"Other (please specify):;Developer, back-end",Employed full-time,2021
75000.0,3,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data or business analyst,Employed full-time,2021
31176.0,20,Czech Republic,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack;System administrator",Employed part-time,2021
55224.0,Less than 1 year,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, back-end",Employed full-time,2021
41232.0,15,Brazil,Some college/university study without earning a degree,"Developer, full-stack",Employed full-time,2021
51300.0,16,"Iran, Islamic Republic of...","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Academic researcher;Data or business analyst;Engineering manager;Product manager","Independent contractor, freelancer, or self-employed",2021
35028.0,2,The former Yugoslav Republic of Macedonia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Independent contractor, freelancer, or self-employed",2021
31776.0,4,Finland,"Other doctoral degree (Ph.D., Ed.D., etc.)",Academic researcher;Scientist,Employed full-time,2021
100000.0,10,United States of America,"Other doctoral degree (Ph.D., Ed.D., etc.)",Academic researcher;Educator,Employed full-time,2021
24000.0,43,"Venezuela, Bolivarian Republic of...",Some college/university study without earning a degree,"Developer, full-stack","Independent contractor, freelancer, or self-employed",2021
64859.0,5,Netherlands,Some college/university study without earning a degree,"Engineer, data;Data or business analyst",Employed full-time,2021
40000.0,3,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Academic researcher,Employed part-time,2021
77556.0,14,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Employed full-time,2021
70186.0,33,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Designer",Employed full-time,2021
56723.0,3,Canada,"Associate degree (A.A., A.S., etc.)",DevOps specialist,Employed full-time,2021
9432.0,1,Turkmenistan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",Employed full-time,2021
41184.0,2,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Employed full-time,2021
34591.0,17,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Scientist;System administrator",Employed full-time,2021
160000.0,12,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Employed full-time,2021
36645.0,6,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist",Employed full-time,2021
61200.0,1,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack;Database administrator;Scientist",Employed full-time,2021
447528.0,15,Portugal,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Employed full-time,2021
109871.0,15,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, back-end",Employed full-time,2021
61200.0,3,United States of America,Some college/university study without earning a degree,"Developer, full-stack",Employed full-time,2021
6384.0,5,Peru,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",Employed full-time,2021
22701.0,3,Italy,Some college/university study without earning a degree,"Developer, full-stack",Employed full-time,2021
2076.0,Less than 1 year,Nigeria,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist;Data or business analyst,Employed full-time,2021
98321.0,1,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Employed full-time,2021
18156.0,2,Italy,"Professional degree (JD, MD, etc.)","Developer, front-end",Employed full-time,2021
25131.0,1,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Data or business analyst",Employed full-time,2021
26244.0,10,Taiwan,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, full-stack;Data scientist or machine learning specialist;Developer, back-end;Data or business analyst;Marketing or sales professional",Employed full-time,2021
2513.0,Less than 1 year,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end",Employed full-time,2021
85385.0,9,Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;System administrator",Employed part-time,2021
8377.0,4,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, back-end;System administrator;Product manager","Independent contractor, freelancer, or self-employed",2021
54049.0,15,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;DevOps specialist;Engineering manager;Senior Executive (C-Suite, VP, etc.)",Employed full-time,2021
45241.0,7,United Kingdom of Great Britain and Northern Ireland,"Associate degree (A.A., A.S., etc.)","Developer, full-stack;Developer, back-end",Employed full-time,2021
100000.0,5,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Employed full-time,2021
50844.0,11,Poland,Some college/university study without earning a degree,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Designer",Employed full-time,2021
8292.0,8,Philippines,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",Employed full-time,2021
